author	birth	death	origin
Alexander Pushkin	1799	1837	Russian E
Amos Bronson Alcott	1799	1888	US
August Kopisch	1799	1853	Germany
Eliza Acton	1799	1859	England
George Finlay	1799	1875	Scotland
George Payne Rainsford James	1799	1860	England
Gu Taiqing	1799	1877	
Henry Stebbing	1799	1883	England
Honoré de Balzac	1799	1850	France
John Moultrie	1799	1874	England
Louisa Stuart Costello	1799	1870	England
Ludwig Rellstab	1799	1860	Germany
Mary Howitt	1799	1888	England/Italy
Richard Howitt	1799	1869	England
Sarah Stickney Ellis	1799	1872	England
Thomas Hood	1799	1845	England
Thomas Kibble Hervey	1799	1859	Scotland/England
Wacl/aw Michal/ Zaleski	1799	1849	Austrian E
William Andrew Chatto	1799	1864	England
William Frederick Deacon	1799	1845	England
William Mure	1799	1860	Scotland/England
Wu Zao	1799	1862	China
Alfred Beesley	1800	1847	England
Anton Martin Slomsvek	1800	1862	Austria-Hungary
António Feliciano de Castilho	1800	1875	Portugal
Catherine Sinclair	1800	1864	Scotland/England
Derwent Coleridge	1800	1883	England
Elizabeth Caroline Gray	1800	1887	Scotland/England
Ernst Ortlepp	1800	1864	Germany
Eugene Baratynsky	1800	1844	Russian E
France Presveren	1800	1849	Austrian E
George Bentham	1800	1884	England
Gergely Czuczor	1800	1866	Austrian E/Hungary
Godfrey Howitt	1800	1873	England/Australia
Gustava Kielland	1800	1889	Norway
Henry Taylor	1800	1886	England
Jakob Lorber	1800	1864	Austria
Jane Margaret Strickland	1800	1888	England
John Nelson Darby	1800	1882	England
Maria Jane Jewsbury	1800	1833	England/India
Mihály Vörösmarty	1800	1855	Hungary
Reza-Qoli Khan Hedayat	1800	1871	Persia
Samuel Roberts	1800	1885	Wales
Thomas Babington Macaulay	1800	1859	England/Scotland
Thomas Henry Lister	1800	1842	England
Thomas Shimmin	1800	1876	
William Cooke Taylor	1800	1849	Ireland
Antoine Meyer	1801	1857	Luxembourg/Belgium
Bogumil Goltz	1801	1870	Poland/Germany
Caroline Clive	1801	1873	England
Christian Dietrich Grabbe	1801	1836	Germany
Franciszek Ksawery Godebski	1801	1869	Russian E/France
Frédéric Bastiat	1801	1850	France
Fredrika Bremer	1801	1865	Sweden
Henriette Davidis	1801	1876	Germany
Hortense Allart	1801	1879	Italy/France
Johann Nestroy	1801	1862	Austria
John Henry Newman	1801	1890	England
Karl Egon Ebert	1801	1882	Austrian E/Bohemia
Kathinka Zitz-Halein	1801	1877	Germany
Valdimir Dal	1801	1872	Russian E
William Barnes	1801	1886	
William Williams (Caledfryn)	1801	1869	Wales
Alexander Odoevsky	1802	1839	Russian E
Alexander Orbeliani	1802	1869	Russian E
Alexandre Dumas, père	1802	1870	France
Betsy Balcombe	1802	1871	England
Catharine Parr Traill	1802	1899	England/Canada
Favell Lee Mortimer	1802	1878	England
Harriet Martineau	1802	1876	England
Ion Heliade Raudulescu	1802	1872	Wallachia/Romania
Jacob van Lennep	1802	1868	Netherlands
Józef Bohdan Zaleski	1802	1886	Russian E/France
Karl Joseph Simrock	1802	1876	Germany
Lydia Maria Child	1802	1880	US
Niccolò Tommaseo	1802	1874	Italy
Prokopije Cvokorilo	1802	1866	Ottoman E
Richard Henry Horne	1802	1884	England
Rudolf Sutermeister	1802	1868	Switzerland
Sara Coleridge	1802	1852	England
Victor Hugo	1802	1885	France
Wilhelm Hauff	1802	1827	Germany
William Rees (Gwilym Hiraethog)	1802	1883	Wales
William Rowlands	1802	1865	Wales
Winthrop Mackworth Praed	1802	1839	England
Catherine Crowe	1803	1876	England
Dafydd Jones	1803	1868	Wales
Dudley Costello	1803	1865	Ireland/England
Edward Bulwer-Lytton	1803	1873	England
Eliza S. Craven Green	1803	1866	England
Fyodor Tyutchev	1803	1873	Russian E
George Borrow	1803	1881	England
Gerald Griffin	1803	1840	Ireland
Hurrell Froude	1803	1836	England
Jacob Abbott	1803	1879	US
James Clarence Mangan	1803	1849	Ireland
John Howard Marsden	1803	1891	England
Julius Mosen	1803	1867	Germany
Luise von Ploennies	1803	1872	Germany
Marjorie Fleming	1803	1811	Scotland
Nikolay Pavlov	1803	1864	Russian E
Nikolay Yazykov	1803	1847	Russian E
Orestes Brownson	1803	1876	US
Prosper Mérimée	1803	1870	France
Ralph Waldo Emerson	1803	1882	US
Robert Hawker	1803	1875	England
Susanna Moodie	1803	1885	England/Canada
Thomas Lovell Beddoes	1803	1849	England
William Godwin the Younger	1803	1832	England
Alexander Polezhaev	1804	1838	Russian E
Alexey Khomyakov	1804	1860	Russian E
Alfred Henry Forrester	1804	1872	England
Antoni Edward Odyniec	1804	1885	Poland
Benjamin Disraeli	1804	1881	England
Benjamin Hall Kennedy	1804	1889	England
Charles Augustin Sainte-Beuve	1804	1869	France
Charles Foster Barham	1804	1884	England
Eduard Mörike	1804	1875	Germany
Eugène Sue	1804	1857	France/Italy
George Sand	1804	1876	France
Georgiana McCrae	1804	1890	England/Australia
Grigol Orbeliani	1804	1883	Russian E
Johan Ludvig Runeberg	1804	1877	Finland
József Bajza	1804	1858	Austria-Hungary
Julia Pardoe	1804	1862	England
Nathaniel Hawthorne	1804	1864	US
Nikolay Nadezhdin	1804	1856	Russian E
Richard Cobden	1804	1865	England
Rowland Egerton-Warburton	1804	1891	England
Samuel Laman Blanchard	1804	1845	England
Thomas Davis	1804	1887	England 
