Van Foreest	Firouzja	0	1
Warmerdam	Nepomniachtchi	0	1
Ju Wenjun	Giri	0	1
Vidit	Ding Liren	0.5	0.5
Donchenko	Wei Yi	0	1
Gukesh D	Abdusattorov	0.5	0.5
Praggnanandhaa	Maghsoodloo	0.5	0.5
Firouzja	Maghsoodloo	1	0
Abdusattorov	Praggnanandhaa	0.5	0.5
Wei Yi	Gukesh D	0	1
Ding Liren	Donchenko	0.5	0.5
Giri	Vidit	0.5	0.5
Nepomniachtchi	Ju Wenjun	0.5	0.5
Van Foreest	Warmerdam	0	1
Warmerdam	Firouzja	0.5	0.5
Ju Wenjun	Van Foreest	0	1
Vidit	Nepomniachtchi	0.5	0.5
Donchenko	Giri	0	1
Gukesh D	Ding Liren	0	1
Praggnanandhaa	Wei Yi	0.5	0.5
Maghsoodloo	Abdusattorov	0	1
Firouzja	Abdusattorov	0.5	0.5
Wei Yi	Maghsoodloo	1	0
Ding Liren	Praggnanandhaa	0	1
Giri	Gukesh D	1	0
Nepomniachtchi	Donchenko	0.5	0.5
Van Foreest	Vidit	0.5	0.5
Warmerdam	Ju Wenjun	0.5	0.5
Ju Wenjun	Firouzja	1	0
Vidit	Warmerdam	0.5	0.5
Donchenko	Van Foreest	0.5	0.5
Gukesh D	Nepomniachtchi	1	0
Praggnanandhaa	Giri	0.5	0.5
Maghsoodloo	Ding Liren	0.5	0.5
Abdusattorov	Wei Yi	0.5	0.5
Firouzja	Wei Yi	1	0
Ding Liren	Abdusattorov	0.5	0.5
Giri	Maghsoodloo	0.5	0.5
Nepomniachtchi	Praggnanandhaa	0.5	0.5
Van Foreest	Gukesh D	0	1
Warmerdam	Donchenko	1	0
Ju Wenjun	Vidit	0.5	0.5
Vidit	Firouzja	1	0
Donchenko	Ju Wenjun	0.5	0.5
Gukesh D	Warmerdam	1	0
Praggnanandhaa	Van Foreest	0.5	0.5
Maghsoodloo	Nepomniachtchi	0.5	0.5
Abdusattorov	Giri	1	0
Wei Yi	Ding Liren	0.5	0.5
Firouzja	Ding Liren	1	0
Giri	Wei Yi	0.5	0.5
Nepomniachtchi	Abdusattorov	1	0
Van Foreest	Maghsoodloo	0.5	0.5
Warmerdam	Praggnanandhaa	0.5	0.5
Ju Wenjun	Gukesh D	0.5	0.5
Vidit	Donchenko	0.5	0.5
Donchenko	Firouzja	1	0
Gukesh D	Vidit	0.5	0.5
Praggnanandhaa	Ju Wenjun	1	0
Maghsoodloo	Warmerdam	1	0
Abdusattorov	Van Foreest	1	0
Wei Yi	Nepomniachtchi	1	0
Ding Liren	Giri	0.5	0.5
Firouzja	Giri	0.5	0.5
Nepomniachtchi	Ding Liren	1	0
Van Foreest	Wei Yi	0.5	0.5
Warmerdam	Abdusattorov	0	1
Ju Wenjun	Maghsoodloo	0.5	0.5
Vidit	Praggnanandhaa	0.5	0.5
Donchenko	Gukesh D	0	1
Gukesh D	Firouzja	0.5	0.5
Praggnanandhaa	Donchenko	0.5	0.5
Maghsoodloo	Vidit	0	1
Abdusattorov	Ju Wenjun	1	0
Wei Yi	Warmerdam	1	0
Ding Liren	Van Foreest	0.5	0.5
Giri	Nepomniachtchi	0.5	0.5
Firouzja	Nepomniachtchi	1	0
Van Foreest	Giri	0	1
Warmerdam	Ding Liren	0	1
Ju Wenjun	Wei Yi	0	1
Vidit	Abdusattorov	1	0
Donchenko	Maghsoodloo	0.5	0.5
Gukesh D	Praggnanandhaa	0.5	0.5
Praggnanandhaa	Firouzja	0.5	0.5
Maghsoodloo	Gukesh D	0	1
Abdusattorov	Donchenko	1	0
Wei Yi	Vidit	1	0
Ding Liren	Ju Wenjun	0.5	0.5
Giri	Warmerdam	1	0
Nepomniachtchi	Van Foreest	0.5	0.5
